Year,Average,ChangeYear,ChangeBegin
2003,120.8666667,0,0
2004,120.4416667,-0.351627137,-0.351627137
2005,119.5333333,-0.754168685,-1.10314396
2006,119.45,-0.069715561,-1.172090458
2007,118.9885,-0.386354123,-1.553916161
2008,118.9026667,-0.072135823,-1.624931054
2009,120.0555,0.969560537,-0.671125207
2010,119.49125,-0.469990963,-1.137961942
2011,122.0916667,2.176240241,1.013513514
2012,126.2576667,3.412190294,4.460286817
2013,127.436,0.933276659,5.435190292
2014,127.5495,0.089064315,5.529095422
2015,125.9500833,-1.253957614,4.205805295
2016,126.06325,0.08985041,4.299434639
2017,125.64125,-0.334752594,3.950289575
2018,125.67525,0.027061176,3.978419746
2019,124.0851667,-1.265231884,2.662851627
2020,118.0965833,-4.826187927,-2.291850524
2021,121.03175,2.485395076,0.136583012
2022,127.0955,5.010049016,5.153474903
