Year,Average,ChangeYear,ChangeBegin
2003,154.575,0,0
2004,161.9,4.738799935,4.738799935
2005,179.025,10.57751699,15.81756429
2006,194.6916667,8.751105525,25.95288156
2007,200.6493333,3.060052219,29.8071055
2008,220.01175,9.649878395,42.33333333
2009,210.6890833,-4.237349445,36.30217262
2010,214.18075,1.657260363,38.5610545
2011,220.3925,2.9002373,42.57965389
2012,218.9921667,-0.635381573,41.67372904
2013,225.2240833,2.845725836,45.70537495
2014,234.5915,4.159154087,51.76548601
2015,230.11575,-1.907890951,48.86996604
2016,228.851,-0.549614705,48.05175481
2017,237.3116667,3.697019749,53.52525743
2018,241.5846667,1.800585728,56.2896113
2019,242.61075,0.424730322,56.95342067
2020,243.949,0.551603752,57.81918163
2021,260.5540833,6.806784751,68.56159362
2022,298.2145833,14.45400491,92.92549464
