Year,Average,ChangeYear,ChangeBegin
2003,179.4083333,0,0
2004,186.1916667,3.78094663,3.78094663
2005,189.7833333,1.929015799,5.782897487
2006,193.1083333,1.751997892,7.636211622
2007,201.2536667,4.218012342,12.17632031
2008,214.1388333,6.402450639,19.35835385
2009,215.1220833,0.459164732,19.90640531
2010,215.8305,0.329309133,20.30126806
2011,226.1988333,4.803924067,26.08044963
2012,231.7496667,2.453961964,29.1744159
2013,233.8548333,0.908379588,30.34780993
2014,239.4493333,2.392296075,33.46611547
2015,242.2500833,1.169662893,35.0272191
2016,239.0714167,-1.312142651,33.25546937
2017,238.5940833,-0.199661398,32.98940963
2018,239.6593333,0.446469579,33.58316689
2019,241.7679167,0.879825252,34.75846533
2020,250.2159167,3.494260163,39.4672767
2021,258.88375,3.46414147,44.29862047
2022,288.4500833,11.4206988,60.77853128
