Year,Average,ChangeYear,ChangeBegin
2003,41200,0,0
2004,43192,4.834951456,4.834951456
2005,46291,7.174939804,12.35679612
2006,48119,3.948931758,16.79368932
2007,50322,4.57823313,22.1407767
2008,51007,1.361233655,23.80339806
2009,50339,-1.309624169,22.18203883
2014,51889,3.079123542,25.94417476
2015,54405,4.848811887,32.05097087
2016,57319,5.356125356,39.12378641
2017,57590,0.472792617,39.7815534
2018,61557,6.888348672,49.41019417
2019,64708,5.118832952,57.05825243
2020,65449,1.145144341,58.85679612
2021,67409,2.994698162,63.61407767
