Year,Average,ChangeYear,ChangeBegin
2010,77.02766667,0,0
2011,76.30058333,-0.94392491,-0.94392491
2012,76.48775,0.245301751,-0.700938624
2013,77.19208333,0.920844623,0.213451444
2014,78.06133333,1.12608698,1.341942073
2015,77.51175,-0.704040413,0.628453846
2016,77.40625,-0.136108396,0.491490071
2017,76.53383333,-1.127062307,-0.641111635
2018,75.954,-0.757617002,-1.393871466
2019,77.09033333,1.496080961,0.08135605
2020,78.19425,1.431978069,1.514499119
2021,79.33991667,1.46515462,3.001843493
2022,80.64175,1.640830225,4.691928874
