Year,Average,ChangeYear,ChangeBegin
2003,136.1333333,0,0
2004,160.5083333,17.90523996,17.90523996
2005,195.775,21.97186024,43.8112145
2006,220.5916667,12.67611629,62.04089128
2007,239.1363333,8.406784783,75.66332027
2008,278.6593333,16.52739232,104.6958864
2009,202.5833333,-27.30071844,48.81243879
2010,239.6785833,18.31110654,76.061643
2011,302.2430833,26.10350042,122.0198947
2012,312.4751667,3.38538213,129.5361166
2013,303.6525833,-2.823451037,123.0552767
2014,291.8341667,-3.892085006,114.3737757
2015,212.51275,-27.18030502,56.10632958
2016,188.3168333,-11.38563059,38.33263957
2017,213.0648333,13.14168232,56.51187561
2018,241.7245833,13.45118739,77.56458129
2019,233.1654167,-3.540875549,71.27724045
2020,196.0561667,-15.9154177,44.0177522
2021,265.1654167,35.24972011,94.78360676
2022,349.20575,31.69354978,156.5174461
