Year,Average,ChangeYear,ChangeBegin
2003,213.125,0,0
2004,218.8416667,2.68230694,2.68230694
2005,224.4083333,2.543695975,5.294232649
2006,232.1333333,3.442385532,8.91886608
2007,240.6014167,3.647939403,12.89216031
2008,246.654,2.515605859,15.73208211
2009,249.3566667,1.095731943,17.0001955
2010,248.3936667,-0.386193805,16.548348
2011,251.64475,1.308843086,18.07378299
2012,257.0805,2.160088776,20.62428152
2013,263.0503333,2.322164977,23.42537634
2014,270.5093333,2.835578996,26.92520039
2015,278.8020833,3.065605869,30.81622678
2016,288.233,3.382656454,35.24129032
2017,297.8086667,3.32219651,39.73427175
2018,307.6563333,3.306709229,44.35487781
2019,318.0436667,3.376278077,49.2286999
2020,325.8929167,2.467978716,52.91163245
2021,334.5715833,2.663042436,56.98373412
2022,354.2311667,5.876046955,66.20817204
