Year,Average,ChangeYear,ChangeBegin
2003,117.1833333,0,0
2004,123.9833333,5.802872991,5.802872991
2005,130.3333333,5.121656137,11.22173233
2006,136.7833333,4.948849105,16.72592803
2007,143.69625,5.053917388,22.62516001
2008,152.1150833,5.858770381,29.80948656
2009,161.1484167,5.938486267,37.51820509
2010,170.8978333,6.04996119,45.83800313
2011,179.58375,5.082520063,53.2502489
2012,189.2946667,5.407458451,61.53719243
2013,197.6463333,4.41199259,68.66420139
2014,204.9000833,3.670065555,74.85428815
2015,213.9715833,4.4272798,82.59557673
2016,221.6614167,3.593857284,89.15780117
2017,229.1033333,3.357335155,95.50846252
2018,237.1309167,3.503913809,102.3589105
2019,244.654,3.17254428,108.7788366
2020,252.4583333,3.189947163,115.4387712
2021,261.4756667,3.57181053,123.1338359
2022,273.2091667,4.487415655,133.1467786
